Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,8.0,18.2,0.0,top
C10,100n,C_0402_1005Metric,39.9,7.4,180.0,top
C11,100n,C_0402_1005Metric,40.9,25.7,180.0,top
C12,100n,C_0402_1005Metric,42.185,20.0,180.0,top
C13,100n,C_0402_1005Metric,40.7,30.7,180.0,top
C14,100n,C_0402_1005Metric,41.9,7.4,180.0,top
C2,1u,C_0402_1005Metric,38.9,35.5,-90.0,top
C3,100n,C_0402_1005Metric,39.0,42.5,90.0,top
C4,1u,C_0402_1005Metric,44.2,36.395,90.0,top
C5,1u,C_0402_1005Metric,41.4,39.1,180.0,top
C6,1u,C_0402_1005Metric,39.0,39.9,-90.0,top
C7,100n,C_0402_1005Metric,39.0,25.7,180.0,top
C8,100n,C_0402_1005Metric,40.185,20.0,180.0,top
C9,100n,C_0402_1005Metric,38.7,30.7,180.0,top
D1,PWR,LED_1206_3216Metric,4.1,9.5,180.0,top
D2,ERR,LED_1206_3216Metric,4.1,16.5,180.0,top
D3,ACT,LED_1206_3216Metric,4.1,23.5,180.0,top
D4,SER,LED_1206_3216Metric,4.1,30.5,180.0,top
FB1,120Ohm/100MHz,L_0603_1608Metric,41.1,40.4,0.0,top
Q1,BSS138,SOT-23,45.9,14.9,0.0,top
R1,1k,R_0402_1005Metric,3.2,7.7,180.0,top
R10,100,R_0402_1005Metric,49.0,16.1,0.0,top
R11,100,R_0402_1005Metric,44.3,22.9,-90.0,top
R12,100,R_0402_1005Metric,42.4,29.7,90.0,top
R13,100,R_0402_1005Metric,44.185,18.9,90.0,top
R14,100,R_0402_1005Metric,44.3,24.9,90.0,top
R15,100,R_0402_1005Metric,45.8,10.8,0.0,top
R16,100,R_0402_1005Metric,43.9,5.3,90.0,top
R17,1k,R_0402_1005Metric,42.1,15.3,90.0,top
R18,100k,R_0402_1005Metric,43.3,15.3,-90.0,top
R19,10k,R_0402_1005Metric,49.0,14.8,180.0,top
R2,1k,R_0402_1005Metric,3.2,14.7,180.0,top
R20,4.7k,R_0402_1005Metric,43.1,24.9,-90.0,top
R21,1k,R_0402_1005Metric,43.1,22.9,-90.0,top
R22,4.7k,R_0402_1005Metric,42.4,27.7,90.0,top
R3,1k,R_0402_1005Metric,3.2,21.7,180.0,top
R4,1k,R_0402_1005Metric,3.2,28.6,180.0,top
R5,100k,R_0402_1005Metric,38.5,33.995,180.0,top
R6,100k,R_0402_1005Metric,42.0,32.695,180.0,top
R7,100k,R_0402_1005Metric,43.4,40.6,90.0,top
R8,100k,R_0402_1005Metric,43.4,42.6,90.0,top
R9,133k 1%,R_0402_1005Metric,41.1,37.3,180.0,top
U1,TPS2553DBVR,SOT-23-6,41.6,35.0,0.0,top
U2,LMV321IDCKR,SOT-353_SC-70-5,41.15,42.7,180.0,top
U4,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,40.0,23.9,0.0,top
U5,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,41.185,18.2,0.0,top
U6,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,39.5,28.9,0.0,top
U7,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,40.9,5.6,0.0,top
